character_names,season,number_in_season,word_count
C. Montgomery Burns,2,8,0.0
C. Montgomery Burns,2,9,0.0
C. Montgomery Burns,2,10,515.0
C. Montgomery Burns,2,11,40.0
C. Montgomery Burns,2,12,0.0
C. Montgomery Burns,2,13,150.0
C. Montgomery Burns,2,14,0.0
C. Montgomery Burns,2,15,0.0
C. Montgomery Burns,2,16,0.0
C. Montgomery Burns,2,17,45.0
C. Montgomery Burns,2,18,391.0
C. Montgomery Burns,2,19,0.0
C. Montgomery Burns,2,20,0.0
C. Montgomery Burns,2,21,0.0
C. Montgomery Burns,2,22,667.0
C. Montgomery Burns,3,1,97.0
C. Montgomery Burns,3,2,17.0
C. Montgomery Burns,3,3,186.0
C. Montgomery Burns,3,4,21.0
C. Montgomery Burns,3,5,462.0
C. Montgomery Burns,3,6,0.0
C. Montgomery Burns,3,7,381.0
C. Montgomery Burns,3,8,112.0
C. Montgomery Burns,3,9,0.0
C. Montgomery Burns,3,10,0.0
C. Montgomery Burns,3,11,573.0
C. Montgomery Burns,3,12,69.0
C. Montgomery Burns,3,13,0.0
C. Montgomery Burns,3,14,0.0
C. Montgomery Burns,3,15,0.0
C. Montgomery Burns,3,16,0.0
C. Montgomery Burns,3,17,913.0
C. Montgomery Burns,3,18,0.0
C. Montgomery Burns,3,19,207.0
C. Montgomery Burns,3,20,0.0
C. Montgomery Burns,3,21,0.0
C. Montgomery Burns,3,22,0.0
C. Montgomery Burns,3,23,0.0
C. Montgomery Burns,3,24,212.0
C. Montgomery Burns,4,1,0.0
C. Montgomery Burns,4,2,0.0
C. Montgomery Burns,4,3,0.0
C. Montgomery Burns,4,4,0.0
C. Montgomery Burns,4,5,261.0
C. Montgomery Burns,4,6,0.0
C. Montgomery Burns,4,7,372.0
C. Montgomery Burns,4,8,0.0
C. Montgomery Burns,4,9,0.0
C. Montgomery Burns,4,10,0.0
C. Montgomery Burns,4,11,111.0
C. Montgomery Burns,4,12,68.0
C. Montgomery Burns,4,13,0.0
C. Montgomery Burns,4,14,0.0
C. Montgomery Burns,4,15,0.0
C. Montgomery Burns,4,16,0.0
C. Montgomery Burns,4,17,541.0
C. Montgomery Burns,4,18,47.0
C. Montgomery Burns,4,19,0.0
C. Montgomery Burns,4,20,0.0
C. Montgomery Burns,4,21,27.0
C. Montgomery Burns,4,22,5.0
C. Montgomery Burns,5,1,0.0
C. Montgomery Burns,5,2,0.0
C. Montgomery Burns,5,3,252.0
C. Montgomery Burns,5,4,542.0
C. Montgomery Burns,5,5,68.0
C. Montgomery Burns,5,6,25.0
C. Montgomery Burns,5,7,18.0
C. Montgomery Burns,5,8,0.0
C. Montgomery Burns,5,9,137.0
C. Montgomery Burns,5,10,256.0
C. Montgomery Burns,5,11,0.0
C. Montgomery Burns,5,12,1.0
C. Montgomery Burns,5,13,0.0
C. Montgomery Burns,5,14,9.0
C. Montgomery Burns,5,15,82.0
C. Montgomery Burns,5,16,27.0
C. Montgomery Burns,5,17,14.0
C. Montgomery Burns,5,18,800.0
C. Montgomery Burns,5,19,0.0
C. Montgomery Burns,5,20,0.0
C. Montgomery Burns,5,21,295.0
C. Montgomery Burns,5,22,2.0
C. Montgomery Burns,6,1,0.0
C. Montgomery Burns,6,2,0.0
C. Montgomery Burns,6,3,43.0
C. Montgomery Burns,6,4,0.0
C. Montgomery Burns,6,5,44.0
C. Montgomery Burns,6,6,105.0
C. Montgomery Burns,6,7,0.0
C. Montgomery Burns,6,8,0.0
C. Montgomery Burns,6,9,0.0
C. Montgomery Burns,6,10,0.0
C. Montgomery Burns,6,11,0.0
C. Montgomery Burns,6,12,26.0
C. Montgomery Burns,6,13,64.0
C. Montgomery Burns,6,14,0.0
C. Montgomery Burns,6,15,0.0
C. Montgomery Burns,6,16,0.0
C. Montgomery Burns,6,17,0.0
C. Montgomery Burns,6,18,215.0
C. Montgomery Burns,6,19,15.0
C. Montgomery Burns,6,20,444.0
C. Montgomery Burns,6,21,0.0
C. Montgomery Burns,6,22,4.0
C. Montgomery Burns,6,23,0.0
C. Montgomery Burns,6,24,0.0
C. Montgomery Burns,6,25,631.0
C. Montgomery Burns,7,1,273.0
C. Montgomery Burns,7,2,0.0
C. Montgomery Burns,7,3,0.0
C. Montgomery Burns,7,4,0.0
C. Montgomery Burns,7,5,22.0
C. Montgomery Burns,7,6,0.0
C. Montgomery Burns,7,7,165.0
C. Montgomery Burns,7,8,191.0
C. Montgomery Burns,7,9,0.0
C. Montgomery Burns,7,10,229.0
C. Montgomery Burns,7,11,0.0
C. Montgomery Burns,7,12,387.0
C. Montgomery Burns,7,13,0.0
C. Montgomery Burns,7,14,193.0
C. Montgomery Burns,7,15,0.0
C. Montgomery Burns,7,16,0.0
C. Montgomery Burns,7,17,888.0
C. Montgomery Burns,7,18,0.0
C. Montgomery Burns,7,19,0.0
C. Montgomery Burns,7,20,0.0
C. Montgomery Burns,7,21,102.0
C. Montgomery Burns,7,22,358.0
C. Montgomery Burns,7,23,0.0
C. Montgomery Burns,7,24,19.0
C. Montgomery Burns,7,25,0.0
C. Montgomery Burns,8,1,0.0
C. Montgomery Burns,8,2,1.0
C. Montgomery Burns,8,3,0.0
C. Montgomery Burns,8,4,641.0
C. Montgomery Burns,8,5,16.0
C. Montgomery Burns,8,6,0.0
C. Montgomery Burns,8,7,14.0
C. Montgomery Burns,8,8,0.0
C. Montgomery Burns,8,9,0.0
C. Montgomery Burns,8,10,101.0
C. Montgomery Burns,8,11,7.0
C. Montgomery Burns,8,12,929.0
C. Montgomery Burns,8,13,41.0
C. Montgomery Burns,8,14,0.0
C. Montgomery Burns,8,15,0.0
C. Montgomery Burns,8,16,0.0
C. Montgomery Burns,8,17,0.0
C. Montgomery Burns,8,18,0.0
C. Montgomery Burns,8,19,0.0
C. Montgomery Burns,8,20,28.0
C. Montgomery Burns,8,21,1139.0
C. Montgomery Burns,8,22,0.0
C. Montgomery Burns,8,23,217.0
C. Montgomery Burns,8,24,0.0
C. Montgomery Burns,8,25,0.0
C. Montgomery Burns,9,1,0.0
C. Montgomery Burns,9,2,0.0
C. Montgomery Burns,9,3,0.0
C. Montgomery Burns,9,4,5.0
C. Montgomery Burns,9,5,0.0
C. Montgomery Burns,9,6,1.0
C. Montgomery Burns,9,7,0.0
C. Montgomery Burns,9,8,35.0
C. Montgomery Burns,9,9,0.0
C. Montgomery Burns,9,10,7.0
C. Montgomery Burns,9,11,0.0
C. Montgomery Burns,9,12,0.0
C. Montgomery Burns,9,13,112.0
C. Montgomery Burns,9,14,0.0
C. Montgomery Burns,9,15,0.0
C. Montgomery Burns,9,16,0.0
C. Montgomery Burns,9,17,0.0
C. Montgomery Burns,9,18,31.0
C. Montgomery Burns,9,19,44.0
C. Montgomery Burns,9,20,622.0
C. Montgomery Burns,9,21,12.0
C. Montgomery Burns,9,22,1.0
C. Montgomery Burns,9,23,20.0
C. Montgomery Burns,9,24,24.0
C. Montgomery Burns,9,25,0.0
C. Montgomery Burns,10,1,0.0
C. Montgomery Burns,10,2,0.0
C. Montgomery Burns,10,3,34.0
C. Montgomery Burns,10,4,0.0
C. Montgomery Burns,10,5,0.0
C. Montgomery Burns,10,6,110.0
C. Montgomery Burns,10,7,0.0
C. Montgomery Burns,10,8,0.0
C. Montgomery Burns,10,9,0.0
C. Montgomery Burns,10,10,20.0
C. Montgomery Burns,10,11,0.0
C. Montgomery Burns,10,12,0.0
C. Montgomery Burns,10,13,30.0
C. Montgomery Burns,10,14,0.0
C. Montgomery Burns,10,15,0.0
C. Montgomery Burns,10,16,0.0
C. Montgomery Burns,10,17,52.0
C. Montgomery Burns,10,18,0.0
C. Montgomery Burns,10,19,48.0
C. Montgomery Burns,10,20,17.0
C. Montgomery Burns,10,21,793.0
C. Montgomery Burns,10,22,0.0
C. Montgomery Burns,10,23,8.0
C. Montgomery Burns,11,1,0.0
C. Montgomery Burns,11,2,19.0
C. Montgomery Burns,11,3,37.0
C. Montgomery Burns,11,4,0.0
C. Montgomery Burns,11,5,0.0
C. Montgomery Burns,11,6,14.0
C. Montgomery Burns,11,7,0.0
C. Montgomery Burns,11,8,0.0
C. Montgomery Burns,11,9,39.0
C. Montgomery Burns,11,10,0.0
C. Montgomery Burns,11,11,0.0
C. Montgomery Burns,11,12,335.0
C. Montgomery Burns,11,13,0.0
C. Montgomery Burns,11,14,0.0
C. Montgomery Burns,11,15,77.0
C. Montgomery Burns,11,16,0.0
C. Montgomery Burns,11,17,0.0
C. Montgomery Burns,11,18,0.0
C. Montgomery Burns,11,19,36.0
C. Montgomery Burns,11,20,0.0
C. Montgomery Burns,11,21,0.0
C. Montgomery Burns,11,22,0.0
C. Montgomery Burns,12,1,0.0
C. Montgomery Burns,12,2,26.0
C. Montgomery Burns,12,3,0.0
C. Montgomery Burns,12,4,0.0
C. Montgomery Burns,12,5,465.0
C. Montgomery Burns,12,6,61.0
C. Montgomery Burns,12,7,0.0
C. Montgomery Burns,12,8,4.0
C. Montgomery Burns,12,9,34.0
